id,fecha,hora,lluvia_mm,tasa_mm_hr
12282,2026-09-01,00:15:00,0.0,0.0
12283,2026-09-01,00:30:00,0.0,0.0
12284,2026-09-01,00:45:00,0.0,0.0
12285,2026-09-01,01:00:00,0.0,0.0
12286,2026-09-01,01:15:00,0.0,0.0
12287,2026-09-01,01:30:00,0.0,0.0
12288,2026-09-01,01:45:00,0.0,0.0
12289,2026-09-01,02:00:00,0.2,0.0
12290,2026-09-01,02:15:00,0.4,1.2
12291,2026-09-01,02:30:00,0.2,1.2
12292,2026-09-01,02:45:00,0.0,0.8
12293,2026-09-01,03:00:00,0.2,0.8
12294,2026-09-01,03:15:00,0.0,0.0
12295,2026-09-01,03:30:00,0.0,0.0
12296,2026-09-01,03:45:00,0.0,0.0
12297,2026-09-01,04:00:00,0.0,0.0
12298,2026-09-01,04:15:00,0.0,0.0
12299,2026-09-01,04:30:00,0.0,0.0
12300,2026-09-01,04:45:00,0.0,0.0
12301,2026-09-01,05:00:00,0.0,0.0
12302,2026-09-01,05:15:00,0.0,0.0
12303,2026-09-01,05:30:00,0.0,0.0
12304,2026-09-01,05:45:00,0.0,0.0
12305,2026-09-01,06:00:00,0.0,0.0
12306,2026-09-01,06:15:00,0.0,0.0
12307,2026-09-01,06:30:00,0.0,0.0
12308,2026-09-01,06:45:00,0.0,0.0
12309,2026-09-01,07:00:00,0.0,0.0
12310,2026-09-01,07:15:00,0.0,0.0
12311,2026-09-01,07:30:00,0.0,0.0
12312,2026-09-01,07:45:00,0.0,0.0
12313,2026-09-01,08:00:00,0.0,0.0
12314,2026-09-01,08:15:00,0.0,0.0
12315,2026-09-01,08:30:00,0.0,0.0
12316,2026-09-01,08:45:00,0.0,0.0
12317,2026-09-01,09:00:00,0.0,0.0
12318,2026-09-01,09:15:00,0.0,0.0
12319,2026-09-01,09:30:00,0.0,0.0
12320,2026-09-01,09:45:00,0.0,0.0
12321,2026-09-01,10:00:00,0.0,0.0
12322,2026-09-01,10:15:00,0.0,0.0
12323,2026-09-01,10:30:00,0.0,0.0
12324,2026-09-01,10:45:00,0.0,0.0
12325,2026-09-01,11:00:00,0.0,0.0
12326,2026-09-01,11:15:00,0.0,0.0
12327,2026-09-01,11:30:00,0.0,0.0
12328,2026-09-01,11:45:00,0.0,0.0
12329,2026-09-01,12:00:00,0.0,0.0
12330,2026-09-01,12:15:00,0.0,0.0
12331,2026-09-01,12:30:00,0.0,0.0
12332,2026-09-01,12:45:00,0.0,0.0
12333,2026-09-01,13:00:00,0.0,0.0
12334,2026-09-01,13:15:00,0.0,0.0
12335,2026-09-01,13:30:00,0.0,0.0
12336,2026-09-01,13:45:00,0.0,0.0
12337,2026-09-01,14:00:00,0.0,0.0
12338,2026-09-01,14:15:00,0.0,0.0
12339,2026-09-01,14:30:00,0.0,0.0
12340,2026-09-01,14:45:00,0.0,0.0
12341,2026-09-01,15:00:00,0.0,0.0
12342,2026-09-01,15:15:00,0.0,0.0
12343,2026-09-01,15:30:00,0.0,0.0
12344,2026-09-01,15:45:00,0.0,0.0
12345,2026-09-01,16:00:00,0.0,0.0
12346,2026-09-01,16:15:00,0.0,0.0
12347,2026-09-01,16:30:00,0.0,0.0
12348,2026-09-01,16:45:00,0.0,0.0
12349,2026-09-01,17:00:00,0.0,0.0
12350,2026-09-01,17:15:00,0.0,0.0
12351,2026-09-01,17:30:00,0.0,0.0
12352,2026-09-01,17:45:00,0.0,0.0
12353,2026-09-01,18:00:00,0.0,0.0
12354,2026-09-01,18:15:00,0.0,0.0
12355,2026-09-01,18:30:00,0.0,0.0
12356,2026-09-01,18:45:00,0.0,0.0
12357,2026-09-01,19:00:00,0.0,0.0
12358,2026-09-01,19:15:00,0.0,0.0
12359,2026-09-01,19:30:00,0.0,0.0
12360,2026-09-01,19:45:00,0.0,0.0
12361,2026-09-01,20:00:00,0.0,0.0
12362,2026-09-01,20:15:00,0.0,0.0
12363,2026-09-01,20:30:00,0.0,0.0
12364,2026-09-01,20:45:00,0.0,0.0
12365,2026-09-01,21:00:00,0.4,3.4
12366,2026-09-01,21:15:00,0.4,2.8
12367,2026-09-01,21:30:00,0.0,0.0
12368,2026-09-01,21:45:00,0.2,0.0
12369,2026-09-01,22:00:00,0.0,0.0
12370,2026-09-01,22:15:00,0.0,0.0
12371,2026-09-01,22:30:00,0.0,0.0
12372,2026-09-01,22:45:00,0.0,0.0
12373,2026-09-01,23:00:00,0.0,0.0
12374,2026-09-01,23:15:00,0.0,0.0
12375,2026-09-01,23:30:00,0.0,0.0
12376,2026-09-01,23:45:00,0.0,0.0
12472,2026-09-02,00:15:00,0.0,0.0
12473,2026-09-02,00:30:00,0.0,0.0
12474,2026-09-02,00:45:00,0.0,0.0
12475,2026-09-02,01:00:00,0.0,0.0
12476,2026-09-02,01:15:00,0.0,0.0
12477,2026-09-02,01:30:00,0.0,0.0
12478,2026-09-02,01:45:00,0.0,0.0
12479,2026-09-02,02:00:00,0.0,0.0
12480,2026-09-02,02:15:00,0.0,0.0
12481,2026-09-02,02:30:00,0.0,0.0
12482,2026-09-02,02:45:00,0.0,0.0
12483,2026-09-02,03:00:00,0.0,0.0
12484,2026-09-02,03:15:00,0.0,0.0
12485,2026-09-02,03:30:00,0.0,0.0
12486,2026-09-02,03:45:00,0.0,0.0
12487,2026-09-02,04:00:00,0.0,0.0
12488,2026-09-02,04:15:00,0.0,0.0
12489,2026-09-02,04:30:00,0.0,0.0
12490,2026-09-02,04:45:00,0.0,0.0
12491,2026-09-02,05:00:00,0.0,0.0
12492,2026-09-02,05:15:00,0.0,0.0
12493,2026-09-02,05:30:00,0.0,0.0
12494,2026-09-02,05:45:00,0.0,0.0
12495,2026-09-02,06:00:00,0.0,0.0
12496,2026-09-02,06:15:00,0.0,0.0
12497,2026-09-02,06:30:00,0.0,0.0
12498,2026-09-02,06:45:00,0.0,0.0
12499,2026-09-02,07:00:00,0.0,0.0
12500,2026-09-02,07:15:00,0.0,0.0
12501,2026-09-02,07:30:00,0.0,0.0
12502,2026-09-02,07:45:00,0.0,0.0
12503,2026-09-02,08:00:00,0.0,0.0
12504,2026-09-02,08:15:00,0.0,0.0
12505,2026-09-02,08:30:00,0.0,0.0
12506,2026-09-02,08:45:00,0.0,0.0
12507,2026-09-02,09:00:00,0.0,0.0
12508,2026-09-02,09:15:00,0.0,0.0
12509,2026-09-02,09:30:00,0.0,0.0
12510,2026-09-02,09:45:00,0.0,0.0
12511,2026-09-02,10:00:00,0.0,0.0
12512,2026-09-02,10:15:00,0.0,0.0
12513,2026-09-02,10:30:00,0.0,0.0
12514,2026-09-02,10:45:00,0.0,0.0
12515,2026-09-02,11:00:00,0.0,0.0
