id,fecha,hora,presion_hpa,variacion_hpa,tendencia
12282,2026-09-01,00:15:00,579.6,0.1,Creciente
12283,2026-09-01,00:30:00,579.7,0.1,Creciente
12284,2026-09-01,00:45:00,579.7,0.0,Estable
12285,2026-09-01,01:00:00,579.9,0.2,Creciente
12286,2026-09-01,01:15:00,580.0,0.1,Creciente
12287,2026-09-01,01:30:00,579.9,-0.1,Descendente
12288,2026-09-01,01:45:00,580.0,0.1,Creciente
12289,2026-09-01,02:00:00,580.1,0.1,Creciente
12290,2026-09-01,02:15:00,580.1,0.0,Estable
12291,2026-09-01,02:30:00,580.0,-0.1,Descendente
12292,2026-09-01,02:45:00,579.9,-0.1,Descendente
12293,2026-09-01,03:00:00,579.7,-0.2,Descendente
12294,2026-09-01,03:15:00,579.6,-0.1,Descendente
12295,2026-09-01,03:30:00,579.4,-0.2,Descendente
12296,2026-09-01,03:45:00,579.3,-0.1,Descendente
12297,2026-09-01,04:00:00,579.2,-0.1,Descendente
12298,2026-09-01,04:15:00,579.0,-0.2,Descendente
12299,2026-09-01,04:30:00,578.9,-0.1,Descendente
12300,2026-09-01,04:45:00,578.9,0.0,Estable
12301,2026-09-01,05:00:00,578.9,0.0,Estable
12302,2026-09-01,05:15:00,578.9,0.0,Estable
12303,2026-09-01,05:30:00,578.9,0.0,Estable
12304,2026-09-01,05:45:00,579.0,0.1,Creciente
12305,2026-09-01,06:00:00,579.0,0.0,Estable
12306,2026-09-01,06:15:00,579.1,0.1,Creciente
12307,2026-09-01,06:30:00,579.2,0.1,Creciente
12308,2026-09-01,06:45:00,579.2,0.0,Estable
12309,2026-09-01,07:00:00,579.2,0.0,Estable
12310,2026-09-01,07:15:00,579.3,0.1,Creciente
12311,2026-09-01,07:30:00,579.4,0.1,Creciente
12312,2026-09-01,07:45:00,579.5,0.1,Creciente
12313,2026-09-01,08:00:00,579.5,0.0,Estable
12314,2026-09-01,08:15:00,579.6,0.1,Creciente
12315,2026-09-01,08:30:00,579.7,0.1,Creciente
12316,2026-09-01,08:45:00,579.9,0.2,Creciente
12317,2026-09-01,09:00:00,580.0,0.1,Creciente
12318,2026-09-01,09:15:00,580.1,0.1,Creciente
12319,2026-09-01,09:30:00,580.1,0.0,Estable
12320,2026-09-01,09:45:00,579.9,-0.2,Descendente
12321,2026-09-01,10:00:00,579.9,0.0,Estable
12322,2026-09-01,10:15:00,579.9,0.0,Estable
12323,2026-09-01,10:30:00,579.8,-0.1,Descendente
12324,2026-09-01,10:45:00,579.8,0.0,Estable
12325,2026-09-01,11:00:00,579.7,-0.1,Descendente
12326,2026-09-01,11:15:00,579.5,-0.2,Descendente
